Àmbit;Dimensió;Centre_Territori;Granularitat;Indicador;Sexe;Grup_edat;Any;Resultat;Catalunya;RaO O_E;IC inferior;IC superior
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;65-74;2024;54.39;47.77;0.89;0.841;0.951
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;65-74;2024;61.49;50.54;1.47;1.382;1.567
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;Total;2024;40.36;42.26;0.89;0.87;0.917
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Accessibilitat a 10 dies;Total;Total;2024;82.23;78.11;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Accessibilitat a 10 dies;Total;Total;2024;66.9;78.11;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Accessibilitat a 10 dies;Total;Total;2024;68.06;78.11;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Accessibilitat a 10 dies;Total;Total;2024;84.21;78.11;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Accessibilitat a 10 dies;Total;Total;2024;83.07;78.11;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-C;Àrea Bàsica de Salut;Accessibilitat a 10 dies;Total;Total;2024;87.19;78.11;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Accessibilitat a 10 dies;Total;Total;2024;85.8;78.11;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Accessibilitat a 5 dies;Total;Total;2024;64.87;63.13;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Accessibilitat a 5 dies;Total;Total;2024;71.7;63.13;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Accessibilitat a 5 dies;Total;Total;2024;51.44;63.13;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-C;Àrea Bàsica de Salut;Accessibilitat a 5 dies;Total;Total;2024;70.37;63.13;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Accessibilitat a 5 dies;Total;Total;2024;52.71;63.13;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Accessibilitat a 5 dies;Total;Total;2024;66.46;63.13;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Accessibilitat a 5 dies;Total;Total;2024;66.26;63.13;;0;
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;0-14;2024;77.15;79.13;1.02;0.967;1.07
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;0-14;2024;66.15;79.13;0.87;0.842;0.904
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;45-64;2024;57;63.34;0.97;0.944;0.987
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;15-44;2024;68;67.22;1.07;1.052;1.079
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;75-84;2024;59.88;60.04;1.06;1.039;1.082
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;0-14;2024;65.21;78.95;0.85;0.833;0.874
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;0-14;2024;64.43;78.79;0.84;0.812;0.866
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;0-14;2024;64.82;78.79;0.84;0.822;0.865
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;75-84;2024;62.79;60.84;1.1;1.068;1.124
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;65-74;2024;65.09;64;1.04;1.016;1.066
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;Total;2024;61.51;64.78;1.05;1.04;1.065
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;15-44;2024;60.48;69.25;0.94;0.905;0.968
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;65-74;2024;62.53;66.19;1.02;0.994;1.051
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;85+;2024;30.3;37.67;0.88;0.862;0.902
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;Total;2024;60.96;63.13;1.07;1.063;1.079
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;15-44;2024;67.37;69.25;1.04;1.016;1.07
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;15-44;2024;67.03;65.79;1.06;1.042;1.076
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;15-44;2024;57.13;65.79;0.9;0.879;0.926
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;15-44;2024;58.33;67.22;0.91;0.896;0.934
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;15-44;2024;57.35;69.25;0.89;0.869;0.907
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;45-64;2024;62.38;63.34;1.06;1.037;1.075
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;Total;2024;50.68;64.78;0.85;0.842;0.86
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;Total;2024;60.6;61.86;1.08;1.073;1.094
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;65-74;2024;62.12;66.19;1.02;0.985;1.046
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;0-14;2024;72.29;79.13;0.95;0.909;1
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;75-84;2024;61.99;60.84;1.08;1.048;1.116
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;15-44;2024;67.29;69.25;1.04;1.016;1.067
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;15-44;2024;66.25;67.22;1.04;1.021;1.055
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;15-44;2024;66.42;67.22;1.04;1.026;1.057
