any,secció censal,concepte,estat,valor
2024,"Ametlla del Vallès, l' DC01 SC001",població estrangera de països de renda baixa o mitjana,p,81.2
2024,"Ametlla del Vallès, l' DC01 SC001",renda mitjana per persona,..,null
2024,"Ametlla del Vallès, l' DC01 SC002",població amb estudis baixos,p,81.2
2024,"Ametlla del Vallès, l' DC01 SC002",població jove sense estudis postobligatoris,p,89.0
2024,"Ametlla del Vallès, l' DC01 SC002",població estrangera de països de renda baixa o mitjana,p,85.9
2024,"Ametlla del Vallès, l' DC01 SC002",renda mitjana per persona,..,null
2024,"Ametlla del Vallès, l' DC01 SC003",població amb estudis baixos,p,76.6
2024,"Ametlla del Vallès, l' DC01 SC003",població jove sense estudis postobligatoris,p,81.7
2024,"Ametlla del Vallès, l' DC01 SC003",població estrangera de països de renda baixa o mitjana,p,81.6
2024,"Ametlla del Vallès, l' DC01 SC003",renda mitjana per persona,..,null
2024,"Ametlla del Vallès, l' DC01 SC004",població amb estudis baixos,p,77.0
2024,"Ametlla del Vallès, l' DC01 SC004",població jove sense estudis postobligatoris,p,79.5
2024,"Ametlla del Vallès, l' DC01 SC004",població estrangera de països de renda baixa o mitjana,p,80.4
2024,"Ametlla del Vallès, l' DC01 SC004",renda mitjana per persona,..,null
2024,"Ametlla del Vallès, l' DC01 SC005",població amb estudis baixos,p,102.8
2024,"Ametlla del Vallès, l' DC01 SC005",població jove sense estudis postobligatoris,p,90.7
2024,"Ametlla del Vallès, l' DC01 SC005",població estrangera de països de renda baixa o mitjana,p,83.3
2024,"Ametlla del Vallès, l' DC01 SC005",renda mitjana per persona,..,null
2024,"Ampolla, l' DC01 SC001",població amb estudis baixos,p,110.4
2024,"Ampolla, l' DC01 SC001",població jove sense estudis postobligatoris,p,108.9
2024,"Ampolla, l' DC01 SC001",població estrangera de països de renda baixa o mitjana,p,107.6
2024,"Ampolla, l' DC01 SC001",renda mitjana per persona,..,null
2024,"Ampolla, l' DC01 SC002",població amb estudis baixos,p,120.2
2024,"Ampolla, l' DC01 SC002",població jove sense estudis postobligatoris,p,113.0
2024,"Ampolla, l' DC01 SC002",població estrangera de països de renda baixa o mitjana,p,96.9
2024,"Ampolla, l' DC01 SC002",renda mitjana per persona,..,null
2024,Amposta DC01 SC001,població amb estudis baixos,p,137.0
2024,Amposta DC01 SC001,població jove sense estudis postobligatoris,p,145.5
2024,Amposta DC01 SC001,població estrangera de països de renda baixa o mitjana,p,136.5
2024,Amposta DC01 SC001,renda mitjana per persona,..,null
2024,Amposta DC01 SC002,població amb estudis baixos,p,117.2
2024,Amposta DC01 SC002,població jove sense estudis postobligatoris,p,131.4
2024,Amposta DC01 SC002,població estrangera de països de renda baixa o mitjana,p,118.5
2024,Amposta DC01 SC002,renda mitjana per persona,..,null
